Sample Name,Sheet Name,Block Index,peak_idx,Tag,Doin,No.peak,DOmin,DDO,phase_label
03042024-BOD-20-15-Q=50.46mL/phút-2,U1-26.03.2024,4,13,,284.2261,6456.0,274.67,9.5561,2
03042024-BOD-20-15-Q=50.46mL/phút-2,U1-26.03.2024,4,14,,284.2142,6929.0,275.11,9.10418,2
03042024-BOD-20-15-Q=50.46mL/phút-2,U1-26.03.2024,4,15,,284.3906,7402.0,274.9,9.49057,2
03042024-BOD-15-10-Q=50.76mL/phút-4,U1-26.03.2024,5,0,BOD15,284.58556,301.0,274.79,9.79556,0
03042024-BOD-15-10-Q=50.76mL/phút-4,U1-26.03.2024,5,1,,284.42861,775.0,274.76,9.66861,0
03042024-BOD-15-10-Q=50.76mL/phút-4,U1-26.03.2024,5,2,,284.29444,1247.0,273.7,10.59444,0
03042024-BOD-15-10-Q=50.76mL/phút-4,U1-26.03.2024,5,3,,284.33944,1721.0,274.42,9.91944,0
03042024-BOD-15-10-Q=50.76mL/phút-4,U1-26.03.2024,5,4,,284.20222,2195.0,274.75,9.45222,0
03042024-BOD-15-10-Q=50.76mL/phút-4,U1-26.03.2024,5,5,,284.22611,2669.0,274.67,9.55611,0
03042024-BOD-15-10-Q=50.76mL/phút-4,U1-26.03.2024,5,6,,284.21417,3141.0,275.17,9.04417,0
