Sample Name,Sheet Name,Block Index,peak_idx,Tag,Doin,No.peak,DOmin,DDO,phase_label
U188-H5-VS2-GGA7.5- Zn(II)5-Cr(VI)-10-Ni(II) 15mg-L-13092024-Q=50.24mL-phút-1,U188-H5-VS2-11.09.2024,0,9,,320.15278,4571.0,281.30001,38.85277,2
U189-H5-VS2-GGA7.5- HH 5mg-L-16092024-Q=50.3mL-phút-2,U189-H5-VS2-12.09.2024,0,0,GGA7.5,313.95,311.0,266.99999,46.95001,0
U189-H5-VS2-GGA7.5- HH 5mg-L-16092024-Q=50.3mL-phút-2,U189-H5-VS2-12.09.2024,0,1,,312.85517,785.0,264.80001,48.05516,0
U189-H5-VS2-GGA7.5- HH 5mg-L-16092024-Q=50.3mL-phút-2,U189-H5-VS2-12.09.2024,0,2,,318.77667,1259.0,270.70001,48.07666,0
U189-H5-VS2-GGA7.5- HH 5mg-L-16092024-Q=50.3mL-phút-2,U189-H5-VS2-12.09.2024,0,3,,328.85333,1732.0,278.10001,50.75332,0
U189-H5-VS2-GGA7.5- HH 5mg-L-16092024-Q=50.3mL-phút-2,U189-H5-VS2-12.09.2024,0,4,,334.24828,2207.0,282.00001,52.24827,0
U189-H5-VS2-GGA7.5- HH 5mg-L-16092024-Q=50.3mL-phút-2,U189-H5-VS2-12.09.2024,0,5,GGA7.5-HH-5,343.84138,2679.0,299.2,44.64138,1
U189-H5-VS2-GGA7.5- HH 5mg-L-16092024-Q=50.3mL-phút-2,U189-H5-VS2-12.09.2024,0,6,,337.61,3152.0,299.80001,37.80999,1
U189-H5-VS2-GGA7.5- HH 5mg-L-16092024-Q=50.3mL-phút-2,U189-H5-VS2-12.09.2024,0,7,,335.55,3626.0,296.0,39.55,1
U189-H5-VS2-GGA7.5- HH 5mg-L-16092024-Q=50.3mL-phút-2,U189-H5-VS2-12.09.2024,0,8,,338.87667,4098.0,301.9,36.97667,1
U189-H5-VS2-GGA7.5- HH 5mg-L-16092024-Q=50.3mL-phút-2,U189-H5-VS2-12.09.2024,0,9,,341.21053,4574.0,303.99999,37.21054,1
U189-H5-VS2-GGA7.5- HH 5mg-L-16092024-Q=50.3mL-phút-2,U189-H5-VS2-12.09.2024,0,10,,338.82369,5044.0,304.69999,34.1237,2
U189-H5-VS2-GGA7.5- HH 5mg-L-16092024-Q=50.3mL-phút-2,U189-H5-VS2-12.09.2024,0,11,,335.02368,5518.0,299.9,35.12368,2
U189-H5-VS2-GGA7.5- HH 5mg-L-16092024-Q=50.3mL-phút-2,U189-H5-VS2-12.09.2024,0,12,,332.3077,5991.0,296.09999,36.20771,2
U189-H5-VS2-GGA7.5- HH 15mg-L-16092024-Q=50.4mL-phút-2,U189-H5-VS2-12.09.2024,1,0,GGA7.5,345.66923,311.0,298.20001,47.46922,0
U189-H5-VS2-GGA7.5- HH 15mg-L-16092024-Q=50.4mL-phút-2,U189-H5-VS2-12.09.2024,1,1,,335.7125,782.0,288.8,46.9125,0
U189-H5-VS2-GGA7.5- HH 15mg-L-16092024-Q=50.4mL-phút-2,U189-H5-VS2-12.09.2024,1,2,,333.108,1255.0,287.60001,45.50799,0
U189-H5-VS2-GGA7.5- HH 15mg-L-16092024-Q=50.4mL-phút-2,U189-H5-VS2-12.09.2024,1,3,,332.356,1729.0,286.3,46.056,0
U189-H5-VS2-GGA7.5- HH 15mg-L-16092024-Q=50.4mL-phút-2,U189-H5-VS2-12.09.2024,1,4,,338.092,2201.0,291.20001,46.89199,0
U189-H5-VS2-GGA7.5- HH 15mg-L-16092024-Q=50.4mL-phút-2,U189-H5-VS2-12.09.2024,1,5,,346.70417,2675.0,299.69999,47.00418,0
U189-H5-VS2-GGA7.5- HH 15mg-L-16092024-Q=50.4mL-phút-2,U189-H5-VS2-12.09.2024,1,6,,351.22,3148.0,303.5,47.72,0
U189-H5-VS2-GGA7.5- HH 15mg-L-16092024-Q=50.4mL-phút-2,U189-H5-VS2-12.09.2024,1,7,,346.7125,3647.0,298.40001,48.31249,0
U189-H5-VS2-GGA7.5- HH 15mg-L-16092024-Q=50.4mL-phút-2,U189-H5-VS2-12.09.2024,1,8,,349.264,4122.0,303.7,45.564,1
U189-H5-VS2-GGA7.5- HH 15mg-L-16092024-Q=50.4mL-phút-2,U189-H5-VS2-12.09.2024,1,9,GGA7.5-HH-15,337.152,4594.0,297.89999,39.25201,1
U189-H5-VS2-GGA7.5- HH 15mg-L-16092024-Q=50.4mL-phút-2,U189-H5-VS2-12.09.2024,1,10,,329.57916,5067.0,293.1,36.47916,1
U189-H5-VS2-GGA7.5- HH 15mg-L-16092024-Q=50.4mL-phút-2,U189-H5-VS2-12.09.2024,1,11,,326.256,5540.0,289.20001,37.05599,1
U189-H5-VS2-GGA7.5- HH 15mg-L-16092024-Q=50.4mL-phút-2,U189-H5-VS2-12.09.2024,1,12,,327.70833,6014.0,288.30001,39.40832,1
U189-H5-VS2-GGA7.5- HH 15mg-L-16092024-Q=50.4mL-phút-2,U189-H5-VS2-12.09.2024,1,13,,323.86,6489.0,287.80001,36.05999,2
U189-H5-VS2-GGA7.5- HH 15mg-L-16092024-Q=50.4mL-phút-2,U189-H5-VS2-12.09.2024,1,14,,324.10834,6962.0,289.0,35.10834,2
U189-H5-VS2-GGA7.5- HH 15mg-L-16092024-Q=50.4mL-phút-2,U189-H5-VS2-12.09.2024,1,15,,316.768,7458.0,280.80001,35.96799,2
U190-H5-VS2-GGA5- HH 15mg-L-17092024-Q=50.14mL-phút-2,U190-H5-VS2-15.09.2024,0,0,GGA5,306.7954,301.0,229.6,77.1954,0
U190-H5-VS2-GGA5- HH 15mg-L-17092024-Q=50.14mL-phút-2,U190-H5-VS2-15.09.2024,0,1,,306.8969,774.0,225.1,81.7969,0
U190-H5-VS2-GGA5- HH 15mg-L-17092024-Q=50.14mL-phút-2,U190-H5-VS2-15.09.2024,0,2,,305.3123,1248.0,225.89999,78.5123,0
U190-H5-VS2-GGA5- HH 15mg-L-17092024-Q=50.14mL-phút-2,U190-H5-VS2-15.09.2024,0,3,,314.6828,1721.0,226.2,88.4828,0
U190-H5-VS2-GGA5- HH 15mg-L-17092024-Q=50.14mL-phút-2,U190-H5-VS2-15.09.2024,0,4,,315.2289,2195.0,223.5,91.7289,0
U190-H5-VS2-GGA5- HH 15mg-L-17092024-Q=50.14mL-phút-2,U190-H5-VS2-15.09.2024,0,5,,306.2865,2674.0,215.20001,91.0865,0
U190-H5-VS2-GGA5- HH 15mg-L-17092024-Q=50.14mL-phút-2,U190-H5-VS2-15.09.2024,0,6,,307.3804,3144.0,213.3,94.0804,0
U190-H5-VS2-GGA5- HH 15mg-L-17092024-Q=50.14mL-phút-2,U190-H5-VS2-15.09.2024,0,7,GGA5-HH-15,306.3294,3619.0,224.5,81.8294,1
U190-H5-VS2-GGA5- HH 15mg-L-17092024-Q=50.14mL-phút-2,U190-H5-VS2-15.09.2024,0,8,,305.2098,4091.0,225.4,79.8098,1
U190-H5-VS2-GGA5- HH 15mg-L-17092024-Q=50.14mL-phút-2,U190-H5-VS2-15.09.2024,0,9,,304.0745,4567.0,227.4,76.6745,1
U190-H5-VS2-GGA5- HH 15mg-L-17092024-Q=50.14mL-phút-2,U190-H5-VS2-15.09.2024,0,10,,308.451,5037.0,230.19999,78.251,2
U190-H5-VS2-GGA5- HH 15mg-L-17092024-Q=50.14mL-phút-2,U190-H5-VS2-15.09.2024,0,11,,309.7667,5509.0,231.19999,78.5667,2
U190-H5-VS2-GGA5- HH 15mg-L-17092024-Q=50.14mL-phút-2,U190-H5-VS2-15.09.2024,0,12,,317.4157,5985.0,239.4,78.0157,2
U190-H5-VS2-GGA2.5- HH 15mg-L-17092024-Q=50.64mL-phút-4,U190-H5-VS2-15.09.2024,1,0,GGA2.5,323.87059,301.0,240.6,83.27059,0
U190-H5-VS2-GGA2.5- HH 15mg-L-17092024-Q=50.64mL-phút-4,U190-H5-VS2-15.09.2024,1,1,,324.25098,775.0,234.3,89.95098,0
U190-H5-VS2-GGA2.5- HH 15mg-L-17092024-Q=50.64mL-phút-4,U190-H5-VS2-15.09.2024,1,2,,315.43269,1247.0,225.89999,89.5327,0
U190-H5-VS2-GGA2.5- HH 15mg-L-17092024-Q=50.64mL-phút-4,U190-H5-VS2-15.09.2024,1,3,,308.68491,1724.0,222.7,85.98491,0
